IDE;programa;IDG;corte1;corte2;curso;creditos;IDP;nestud;periodo;año;jornada;profesor;dedicacion;nsala
1543;Ingeniería Ambiental;G27;2,5;2;Algoritmos y programación;3;209;16;2;2017;noche;Héctor;Cátedra;25
1556;Ingeniería Ambiental;G27;0,5;0;Algoritmos y programación;3;209;16;2;2017;noche;Héctor;Cátedra;26
1558;Ingeniería Ambiental;G27;0,5;0;Algoritmos y programación;3;209;16;2;2017;noche;Héctor;Cátedra;27
1561;Ingeniería Electrónica;G27;2;2,5;Algoritmos y programación;3;209;16;2;2017;noche;Héctor;Cátedra;29
1601;Ingeniería Electrónica;G27;4,5;3;Algoritmos y programación;3;209;16;2;2017;noche;Héctor;Cátedra;30
1635;Ingeniería Ambiental;G27;2;2;Algoritmos y programación;3;209;16;2;2017;noche;Héctor;Cátedra;21
1691;Ingeniería De Sistemas;G27;0;0;Algoritmos y programación;3;209;16;2;2017;noche;Héctor;Cátedra;25
1782;Ingeniería Industrial;G27;3;2,5;Algoritmos y programación;3;209;16;2;2017;noche;Héctor;Cátedra;31
1867;Ingeniería Mecánica;G27;1;0;Algoritmos y programación;3;209;16;2;2017;noche;Héctor;Cátedra;23
1941;Ingeniería Electrónica;G27;4;2,5;Algoritmos y programación;3;209;16;2;2017;noche;Héctor;Cátedra;28
1968;Ingeniería Ambiental;G27;2,5;3;Algoritmos y programación;3;209;16;2;2017;noche;Héctor;Cátedra;24
2021;Ingeniería Ambiental;G27;4;3,5;Algoritmos y programación;3;209;16;2;2017;noche;Héctor;Cátedra;22
2022;Ingeniería Ambiental;G27;3;2,5;Algoritmos y programación;3;209;16;2;2017;noche;Héctor;Cátedra;23
2044;Ingeniería Industrial;G27;2,5;2,5;Algoritmos y programación;3;209;16;2;2017;noche;Héctor;Cátedra;32
2063;Ingeniería Mecánica;G27;3;2,5;Algoritmos y programación;3;209;16;2;2017;noche;Héctor;Cátedra;21
2084;Ingeniería Mecánica;G27;3,5;3,5;Algoritmos y programación;3;209;16;2;2017;noche;Héctor;Cátedra;22
1547;Ingeniería Ambiental;G3;4,5;4,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;14
1562;Ingeniería Mecánica;G3;4;2,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;11
1563;Ingeniería Industrial;G3;4;3,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;17
1641;Ingeniería Mecánica;G3;4,5;4,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;12
1648;Ingeniería Ambiental;G3;4,5;4;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;17
1661;Ingeniería De Sistemas;G3;1;1;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;16
1686;Ingeniería Ambiental;G3;4;3,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;15
1733;Ingeniería Industrial;G3;4,5;5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;18
1741;Ingeniería Ambiental;G3;4,5;2;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;13
1785;Ingeniería Ambiental;G3;4,5;2,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;12
1858;Ingeniería Mecánica;G3;4,5;2,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;13
1875;Ingeniería Ambiental;G3;4;1;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;18
1877;Ingeniería Ambiental;G3;3,5;2;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;11
1900;Ingeniería Ambiental;G3;4;3,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;16
1900;Ingeniería Ambiental;G3;4;3,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;16
1933;Ingeniería Ambiental;G3;4;3,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;13
1951;Ingeniería Ambiental;G3;4;3,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;20
1965;Ingeniería Industrial;G3;4,5;2,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;19
1981;Ingeniería Ambiental;G3;4;2;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;14
2071;Ingeniería Industrial;G3;4;3;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;20
2078;Ingeniería Ambiental;G3;4,5;3,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;19
2081;Ingeniería Ambiental;G3;4,5;2,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;15
1549;Ingeniería Ambiental;G13;4;3,5;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;3
1596;Ingeniería De Sistemas;G13;2;2,5;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;5
1616;Ingeniería Mecánica;G13;2,5;2;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;2
1651;Ingeniería Electrónica;G13;2,5;1,5;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;6
1654;Ingeniería Ambiental;G13;4;3,5;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;10
1688;Ingeniería Industrial;G13;3,5;2;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;5
1692;Ingeniería Ambiental;G13;4;3,5;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;9
1721;Ingeniería De Sistemas;G13;1;0;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;9
1735;Ingeniería De Sistemas;G13;3,5;0;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;5
1747;Ingeniería Ambiental;G13;3;3;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;3
1752;Ingeniería Ambiental;G13;3,5;2;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;8
1815;Ingeniería Ambiental;G13;3;4;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;2
1868;Ingeniería Ambiental;G13;2,5;2,5;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;4
1888;Ingeniería Electrónica;G13;2,5;3;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;5
1908;Ingeniería Electrónica;G13;1;0;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;9
1911;Ingeniería Ambiental;G13;4;3;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;5
1914;Ingeniería Ambiental;G13;3,5;3;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;1
1963;Ingeniería Ambiental;G13;2,5;3,5;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;4
2013;Ingeniería De Sistemas;G13;2,5;3,5;Algoritmos y programación;3;216;19;2;2017;día;Diomedes;TC;4
1550;Ingeniería Industrial;G20;2,5;5;Algoritmos y programación;3;204;8;2;2017;noche;Eneas;Cátedra;32
1610;Ingeniería De Sistemas;G20;2,5;4,5;Algoritmos y programación;3;204;8;2;2017;noche;Eneas;Cátedra;27
1707;Ingeniería Ambiental;G20;3,5;5;Algoritmos y programación;3;204;8;2;2017;noche;Eneas;Cátedra;26
1719;Ingeniería De Sistemas;G20;5;4,5;Algoritmos y programación;3;204;8;2;2017;noche;Eneas;Cátedra;28
1889;Ingeniería Mecánica;G20;2,5;1,5;Algoritmos y programación;3;204;8;2;2017;noche;Eneas;Cátedra;21
1904;Ingeniería Industrial;G20;2,5;5;Algoritmos y programación;3;204;8;2;2017;noche;Eneas;Cátedra;30
1936;Ingeniería Industrial;G20;3;3,5;Algoritmos y programación;3;204;8;2;2017;noche;Eneas;Cátedra;31
2101;Ingeniería Electrónica;G20;1;0;Algoritmos y programación;3;204;8;2;2017;noche;Eneas;Cátedra;29
1551;Ingeniería De Sistemas;G2;3;2,5;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;19
1594;Ingeniería De Sistemas;G2;3,5;3,5;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;15
1645;Ingeniería De Sistemas;G2;4;3,5;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;16
1653;Ingeniería De Sistemas;G2;2,5;3;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;19
1658;Ingeniería De Sistemas;G2;4;3;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;12
1683;Ingeniería De Sistemas;G2;3,5;3;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;20
1725;Ingeniería De Sistemas;G2;4;4;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;18
1734;Ingeniería De Sistemas;G2;3;3;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;13
1787;Ingeniería De Sistemas;G2;4,5;2;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;7
1798;Ingeniería De Sistemas;G2;1;0;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;18
1824;Ingeniería De Sistemas;G2;3,5;4,5;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;15
1828;Ingeniería De Sistemas;G2;3;3;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;17
1829;Ingeniería De Sistemas;G2;3,5;2,5;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;16
1880;Ingeniería De Sistemas;G2;3,5;4;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;11
1966;Ingeniería De Sistemas;G2;2,5;0;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;14
1974;Ingeniería De Sistemas;G2;4;4,5;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;11
1987;Ingeniería De Sistemas;G2;3;2,5;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;14
2002;Ingeniería De Sistemas;G2;4;4;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;20
2048;Ingeniería De Sistemas;G2;3,5;0;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;7
2050;Ingeniería De Sistemas;G2;3,5;2,5;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;12
2075;Ingeniería De Sistemas;G2;4;3;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;12
2089;Ingeniería De Sistemas;G2;4,5;4,5;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;17
2096;Ingeniería De Sistemas;G2;4;5;Algoritmos y programación;3;222;23;2;2017;día;Atenea;TC;13
1568;Ingeniería Ambiental;G22;4;3;Algoritmos y programación;3;225;12;2;2017;noche;Poseidón;Cátedra;25
1577;Ingeniería Mecánica;G22;2,5;2,5;Algoritmos y programación;3;225;12;2;2017;noche;Poseidón;Cátedra;26
1593;Ingeniería Ambiental;G22;3,5;3;Algoritmos y programación;3;225;12;2;2017;noche;Poseidón;Cátedra;24
1626;Ingeniería Electrónica;G22;2;0;Algoritmos y programación;3;225;12;2;2017;noche;Poseidón;Cátedra;22
1766;Ingeniería Ambiental;G22;3;3,5;Algoritmos y programación;3;225;12;2;2017;noche;Poseidón;Cátedra;28
1827;Ingeniería Ambiental;G22;3;3;Algoritmos y programación;3;225;12;2;2017;noche;Poseidón;Cátedra;24
1835;Ingeniería De Sistemas;G22;2,5;2,5;Algoritmos y programación;3;225;12;2;2017;noche;Poseidón;Cátedra;25
1878;Ingeniería Electrónica;G22;2;0;Algoritmos y programación;3;225;12;2;2017;noche;Poseidón;Cátedra;23
1893;Ingeniería Ambiental;G22;3;2,5;Algoritmos y programación;3;225;12;2;2017;noche;Poseidón;Cátedra;23
1937;Ingeniería De Sistemas;G22;2,5;1;Algoritmos y programación;3;225;12;2;2017;noche;Poseidón;Cátedra;26
1962;Ingeniería Ambiental;G22;3,5;2,5;Algoritmos y programación;3;225;12;2;2017;noche;Poseidón;Cátedra;29
2113;Ingeniería Ambiental;G22;1,5;0;Algoritmos y programación;3;225;12;2;2017;noche;Poseidón;Cátedra;24
1574;Ingeniería Mecánica;G18;0;0;Algoritmos y programación;3;224;13;2;2017;noche;Pándarp;Cátedra;32
1582;Ingeniería Electrónica;G18;3,5;3;Algoritmos y programación;3;224;13;2;2017;noche;Pándarp;Cátedra;26
1589;Ingeniería Ambiental;G18;4;4,5;Algoritmos y programación;3;224;13;2;2017;noche;Pándarp;Cátedra;31
1607;Ingeniería Industrial;G18;4,5;4,5;Algoritmos y programación;3;224;13;2;2017;noche;Pándarp;Cátedra;28
1632;Ingeniería Electrónica;G18;2;1;Algoritmos y programación;3;224;13;2;2017;noche;Pándarp;Cátedra;23
1670;Ingeniería De Sistemas;G18;4;4,5;Algoritmos y programación;3;224;13;2;2017;noche;Pándarp;Cátedra;22
1866;Ingeniería Mecánica;G18;2;2,5;Algoritmos y programación;3;224;13;2;2017;noche;Pándarp;Cátedra;30
1882;Ingeniería Electrónica;G18;2,5;1;Algoritmos y programación;3;224;13;2;2017;noche;Pándarp;Cátedra;25
1917;Ingeniería Industrial;G18;4;2,5;Algoritmos y programación;3;224;13;2;2017;noche;Pándarp;Cátedra;29
2012;Ingeniería De Sistemas;G18;4;4,5;Algoritmos y programación;3;224;13;2;2017;noche;Pándarp;Cátedra;21
2042;Ingeniería Electrónica;G18;5;4;Algoritmos y programación;3;224;13;2;2017;noche;Pándarp;Cátedra;24
2058;Ingeniería Industrial;G18;4;4,5;Algoritmos y programación;3;224;13;2;2017;noche;Pándarp;Cátedra;27
2104;Ingeniería Ambiental;G18;3;3;Algoritmos y programación;3;224;13;2;2017;noche;Pándarp;Cátedra;32
1588;Ingeniería Ambiental;G17;3,5;2,5;Algoritmos y programación;3;215;11;2;2017;noche;Hermes;Cátedra;32
1615;Ingeniería Ambiental;G17;3,5;4,5;Algoritmos y programación;3;215;11;2;2017;noche;Hermes;Cátedra;23
1713;Ingeniería Mecánica;G17;4,5;5;Algoritmos y programación;3;215;11;2;2017;noche;Hermes;Cátedra;30
1753;Ingeniería Ambiental;G17;3,5;3,5;Algoritmos y programación;3;215;11;2;2017;noche;Hermes;Cátedra;21
1919;Ingeniería Industrial;G17;3;4;Algoritmos y programación;3;215;11;2;2017;noche;Hermes;Cátedra;26
1943;Ingeniería Mecánica;G17;4,5;4,5;Algoritmos y programación;3;215;11;2;2017;noche;Hermes;Cátedra;28
1979;Ingeniería Industrial;G17;4,5;4,5;Algoritmos y programación;3;215;11;2;2017;noche;Hermes;Cátedra;27
2039;Ingeniería Mecánica;G17;4,5;5;Algoritmos y programación;3;215;11;2;2017;noche;Hermes;Cátedra;29
2085;Ingeniería Ambiental;G17;3;4;Algoritmos y programación;3;215;11;2;2017;noche;Hermes;Cátedra;22
2094;Ingeniería Industrial;G17;3,5;4,5;Algoritmos y programación;3;215;11;2;2017;noche;Hermes;Cátedra;25
2106;Ingeniería Ambiental;G17;3;4,5;Algoritmos y programación;3;215;11;2;2017;noche;Hermes;Cátedra;24
1622;Ingeniería Mecánica;G19;3,5;4;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;25
1639;Ingeniería Electrónica;G19;4,5;4,5;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;29
1657;Ingeniería Industrial;G19;4,5;4;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;24
1732;Ingeniería Ambiental;G19;2;0;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;22
1744;Ingeniería De Sistemas;G19;4;3;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;28
1756;Ingeniería Electrónica;G19;5;5;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;21
1778;Ingeniería Electrónica;G19;3,5;0;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;22
1799;Ingeniería Ambiental;G19;3,5;3;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;26
1805;Ingeniería Mecánica;G19;4;4,5;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;28
1830;Ingeniería Ambiental;G19;0;0;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;31
1842;Ingeniería Electrónica;G19;3;1;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;23
1843;Ingeniería Ambiental;G19;2;1;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;32
1955;Ingeniería Industrial;G19;2,5;2,5;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;23
1967;Ingeniería Ambiental;G19;4;4;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;27
1988;Ingeniería Mecánica;G19;4,5;4,5;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;24
2014;Ingeniería De Sistemas;G19;3;2;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;22
2070;Ingeniería Ambiental;G19;4;3,5;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;21
2098;Ingeniería Ambiental;G19;3,5;3,5;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;25
2108;Ingeniería Electrónica;G19;4;3,5;Algoritmos y programación;3;202;19;2;2017;noche;Andrómaca;Cátedra;30
